Country,Region,Producer,Number_of_Bags,Country_Partner,Harvest_Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Category_One_Defects,Quakers,Color,Category_Two_Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Weight,Colors
mexico,xicotepec de juarez,juan luis ortega carballo,48,amecafe,2012,7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,83.67,0.12,4,0,green,11,1100,1100,1100,1,green
indonesia,east java,pt. perkebunan nusantara xii,10,specialty coffee association of indonesia,2012,8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,83.67,0.12,0,0,green,0,1200,1600,1400,60,green
guatemala,"sacatepequez, guatemala","siembras vision, s.a",250,asociacion nacional del café,2012,7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,83.67,0.1,0,0,green,0,1524,1524,1524,69,green
united states (hawaii),others,others,3,specialty coffee association,others,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,8.17,83.67,0,0,0,others,0,others,others,others,100,bluish-green
brazil,south of minas,ipanema agricola s.a,320,brazil specialty coffee association,2017,7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,83.58,0.11,0,0,green,5,890,890,890,60,green
guatemala,huehuetenango,juan ramirez morales,275,asociacion nacional del café,2016,7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.58,0.11,0,1,green,0,1128.3696,1128.3696,1128.3696,69,green
colombia,huila,la plata,275,almacafé,2016,7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.11,0,0,green,4,others,others,others,70,green
china,yunnan,menglian mang pan professional cooperative,3,yunnan coffee exchange,2015,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.1,0,1,green,4,1100,1100,1100,60,green
colombia,huila,la plata,275,almacafé,2015,7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,83.58,0.12,0,0,green,3,1600,1950,1775,70,green
mexico,"chiapas, jaltenango",exportadora café california,275,asociación mexicana de cafés y cafeterías de especialidad a.c.,2014,7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,83.58,0.12,1,0,green,13,1200,1200,1200,2,green
ethiopia,yirgacheffe,levelup,250,blossom valley international,2014,7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,7.75,83.58,0,0,0,others,7,1700,2000,1850,60,bluish-green
uganda,eastern,bulamburi coffee farmers association,100,uganda coffee development authority,2013,7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,83.58,0.12,0,0,green,5,1800,1800,1800,60,green
colombia,cundinamarca,others,250,almacafé,2014,7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,83.58,0,0,0,green,0,1600,1600,1600,70,green
colombia,santander,others,250,almacafé,2014,7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,83.58,0.12,0,0,green,1,1550,1550,1550,70,green
colombia,santander,others,250,almacafé,2014,7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,7.58,83.58,0,0,0,others,0,1550,1550,1550,70,bluish-green
taiwan,taichung xinshe 台中市新社區,gu zhi min 古智閔,10,blossom valley international,2013,7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,83.58,0.11,0,0,green,0,1000,1000,1000,30,green
colombia,huila,la plata,275,almacafé,2012,7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,83.58,0.11,0,0,green,3,1600,1950,1775,70,green
mexico,xalapa,julian alberto urrutia moya,250,amecafe,2012,7.83,7.67,7.58,7.58,7.67,7.58,10,10,10,7.67,83.58,0.12,0,0,others,2,1000,1000,1000,1,bluish-green
colombia,cundinamarca,orlando ortiz/wilson sanchez/gilberto acosta,250,almacafé,2012,7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,83.58,0.11,0,0,green,4,2136,2136,2136,70,green
brazil,south of minas,alvaro resende aguiar,33,nucoffee,2012,7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,83.58,0.12,0,0,bluish-green,2,1100,1100,1100,60,bluish-green
colombia,cundinamarca,orlando moreno / willson sanchez,50,almacafé,2016,7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,83.5,0,0,0,bluish-green,5,1799,1799,1799,70,bluish-green
taiwan,others,黑咖啡道王憲備0912326001        ,1,blossom valley international,2016,7.58,7.58,7.17,7.17,7,7,10,10,10,10,83.5,0.11,0,0,bluish-green,0,others,others,others,10,bluish-green
costa rica,tarrazu,martin gutierrez,245,specialty coffee association of costa rica,2015,7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,83.5,0,0,0,bluish-green,0,1850,1850,1850,69,bluish-green
colombia,pitalito,mecias urbano / yaniver alvarez,250,almacafé,2016,7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,83.5,0,0,0,green,0,1000,1000,1000,70,green
guatemala,oriente,margarita avila de nuyens,250,asociacion nacional del café,2016,7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,83.5,0.1,0,2,bluish-green,5,1219.2,1219.2,1219.2,69,bluish-green
colombia,huila,la plata,180,almacafé,2015,7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,83.5,0.12,0,0,green,4,1600,1950,1775,70,green
"tanzania, united republic of",nkure- meru,mr & mrs damari absalome,5,africa fine coffee association,2015,7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,83.5,0.13,0,0,green,21,1400,1400,1400,60,green
indonesia,bener meriah,yusrin,200,specialty coffee association,2015,7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,83.5,0.13,0,0,bluish-green,8,1500,1500,1500,30,bluish-green
ethiopia,oromia,debesa,320,metad agricultural development plc,2014,7.67,7.75,7.5,7.58,7.75,7.67,10,10,10,7.58,83.5,0.1,1,0,others,18,1600,1600,1600,60,bluish-green
colombia,huila,others,275,almacafé,2014,7.67,7.42,7.67,7.83,7.58,7.67,10,10,10,7.67,83.5,0,1,0,others,0,others,others,others,2,bluish-green
colombia,huila,others,275,almacafé,2014,8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,83.5,0.11,0,0,green,0,1850,1850,1850,70,green
guatemala,atitlan,unex,250,specialty coffee association of costa rica,2013,7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,83.5,0.1,0,0,green,0,1400,1400,1400,1,green
colombia,cundinamarca,others,250,almacafé,2014,7.75,7.58,7.33,7.5,7.83,7.83,10,10,10,7.67,83.5,0,2,0,others,0,1650,1650,1650,70,bluish-green
honduras,comayagua,reynerio zepeda,275,instituto hondureño del café,2014,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,0.1,0,0,green,3,1350,1350,1350,1,green
colombia,huila,others,250,almacafé,2013,7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,83.5,0,1,0,green,1,1750,1750,1750,70,green
colombia,huila,others,250,almacafé,2013,7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,83.5,0.11,0,others,green,2,1750,1750,1750,70,green
mexico,xalapa,manuel herrera juarez,10,amecafe,2012,7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,83.5,0.13,0,0,green,14,1170,1170,1170,1,green
mexico,chilón,armando gutierrez guzman,10,amecafe,2012,7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,83.5,0.11,0,0,green,12,940,940,940,1,green
mexico,totutla,gabriel bernard rivas ross,15,amecafe,2012,7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,83.5,0.12,0,0,green,0,1400,1400,1400,1,green
guatemala,atitlan,rnp santo tomas pachuj / kanematsu corporation,275,asociacion nacional del café,2012,7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,83.5,0.1,0,0,green,5,1524,1524,1524,69,green
colombia,huila,la plata,175,almacafé,2012,7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,83.5,0.11,0,0,green,0,1600,1950,1775,70,green
guatemala,oriente,conquistamorito,250,specialty coffee association,2012,7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,83.5,0,3,0,green,12,1402.08,1402.08,1402.08,2,green
united states (hawaii),others,others,14,specialty coffee association,others,7.5,7.67,7.58,7.92,7.58,7.67,10,10,10,7.58,83.5,0.01,0,0,others,0,others,others,others,100,bluish-green
indonesia,bondowoso,pt. perkebunan nusantara xii,10,specialty coffee association of indonesia,23-Jul-10,7.83,7.58,7.58,7.58,7.75,7.58,10,10,10,7.58,83.5,0,0,0,others,0,1600,1600,1600,60,bluish-green
colombia,huila,franklin dussan / hipolito torres,300,almacafé,2017,7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,83.42,0,0,2,green,1,439,439,439,29,green
guatemala,san marcos,jorge leal,50,asociacion nacional del café,2017,7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,83.42,0.1,0,0,green,3,1700,1700,1700,69,green
colombia,huila,franklin dussan / hipoloto torres,600,almacafé,2016,7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,83.42,0.11,0,0,green,2,442,442,442,29,green
costa rica,tarrazu,martin gutierrez,275,specialty coffee association of costa rica,2016,7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,83.42,0.09,0,0,bluish-green,4,1850,1850,1850,69,bluish-green
taiwan,others,黃素貞0939227229,1,blossom valley international,2015,7.67,7.67,7,7.08,7,7,10,10,10,10,83.42,0.11,0,0,bluish-green,0,others,others,others,10,bluish-green
uganda,eastern,bulago & buginyanya,20,uganda coffee development authority,2015,7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,83.42,0.11,0,0,green,1,1800,1800,1800,1218,green
thailand,thailand,matsuzawa coffee,500,specialty coffee institute of asia,2015,7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,83.42,0.13,0,0,bluish-green,0,1200,1200,1200,25,bluish-green
el salvador,apaneca,"ibero el salvador, s.a. de c.v.",275,salvadoran coffee council,2016,7.58,7.5,7.75,7.58,7.75,7.67,10,10,10,7.58,83.42,0.11,0,0,others,0,1330,1330,1330,69,bluish-green
colombia,huila,franklin dussan/andres rodriguez/hipolito torres,275,almacafé,2015,7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,83.42,0.12,4,0,green,0,442,442,442,70,green
brazil,vale da grama,gabriel carvalho dias,300,brazil specialty coffee association,2014,7.33,7.83,7.75,7.5,7.42,7.83,10,10,10,7.75,83.42,0.12,0,0,green,6,others,others,others,60,green
"tanzania, united republic of",karatu northern,ngila estate ltd,39,africa fine coffee association,2014,7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,83.42,0.13,0,0,green,4,1600,1600,1600,60,green
colombia,huila,others,250,almacafé,2014,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,83.42,0.12,0,0,green,1,1813,1813,1813,70,green
guatemala,oriente,amilcar lapola,250,asociacion nacional del café,2013,7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,83.42,0.1,0,0,green,1,1219.2,1219.2,1219.2,69,green
guatemala,antigua,"siembras visión, s.a.",250,asociacion nacional del café,2014,7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,83.42,0.1,0,0,green,2,1500,1500,1500,69,green
guatemala,oriente,roberto monterroso,250,asociacion nacional del café,2013,7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,83.42,0.11,0,0,green,0,1310.64,1310.64,1310.64,69,green
united states (hawaii),kona,others,13,specialty coffee association,2012,7.42,7.75,7.67,7.58,7.67,7.67,10,10,10,7.67,83.42,0,0,0,green,2,others,others,others,100,green
colombia,cundinamarca,exportadora de cafe condor,250,almacafé,2012,7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,83.42,0.11,0,0,green,2,1450,1450,1450,70,green
colombia,huila,others,250,almacafé,others,7.58,7.58,7.58,7.67,7.75,7.67,10,10,10,7.58,83.42,0.1,1,0,others,3,others,others,others,70,bluish-green
united states (hawaii),kona,kona pacific farmers co-op,12,specialty coffee association,2010,7.5,7.92,7.42,7.67,7.83,7.58,10,10,10,7.5,83.42,0.01,0,0,others,0,others,others,others,60,bluish-green
thailand,others,doi tung development project,4,specialty coffee association,others,7.58,7.25,7.5,7.92,7.92,7.42,10,10,10,7.83,83.42,0.11,0,0,others,0,others,others,others,1,bluish-green
mexico,nayarit,"productores de cafe de el cuarenteno, s. de p.r. de r.l",6,specialty coffee association,2016,7.25,7.88,7.38,7.63,7.5,8.75,9,10,10,8,83.38,0.09,2,0,others,4,900,1200,1050,6,bluish-green
colombia,huila,various,275,almacafé,2016,7.75,7.5,7.75,7.58,7.58,7.58,10,10,10,7.58,83.33,0,0,1,others,0,1650,1650,1650,70,bluish-green
colombia,guayata,others,130,almacafé,2016,7.67,7.58,7.58,7.42,7.67,7.75,10,10,10,7.67,83.33,0,0,0,bluish-green,0,others,others,others,70,bluish-green
colombia,huila,la plata,275,almacafé,2016,7.83,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.33,0,1,0,green,2,others,others,others,70,green
brazil,south of minas,ipanema agrícola sa,10,specialty coffee association,2015,7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,83.33,0.1,1,0,green,5,1227,1227,1227,2,green
mexico,chiapas,ecc,275,asociación mexicana de cafés y cafeterías de especialidad a.c.,2014,7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,83.33,0.12,0,0,green,2,1200,1200,1200,1,green
colombia,santander,varios,275,almacafé,2015,7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,83.33,0.11,0,0,green,1,1650,1650,1650,70,green
"tanzania, united republic of",arusha,mondul coffee estate,10,africa fine coffee association,2014,7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,83.33,0.12,0,0,green,6,1700,1700,1700,60,green
mexico,veracruz,josé luis andrade sandara,200,amecafe,2013,7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,83.33,0.12,0,0,green,0,1100,1100,1100,1,green
costa rica,san ramon,several,250,specialty coffee association,2014,7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,83.33,0.12,0,0,green,3,1300,1300,1300,3,green
united states (hawaii),kona,others,12,specialty coffee association,2014,7.83,7.58,7.83,7.67,7.92,8,9.33,10,9.33,7.83,83.33,0.11,0,0,bluish-green,1,others,others,others,100,bluish-green
costa rica,central valley,coricafe blend,250,specialty coffee association of costa rica,2013,7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,83.33,0.11,0,0,green,3,1100,1300,1200,1,green
peru,others,others,280,specialty coffee association,2013,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10,10,7.5,83.33,0.12,0,0,green,5,others,others,others,5,green
haiti,"thiotte, haiti",coopcab,2,specialty coffee association,2012,7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,83.33,0.11,0,0,green,4,1280.16,1280.16,1280.16,4,green
colombia,pitalito,orlando ortiz / hipolito torres,250,almacafé,2013,7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,83.33,0.11,0,0,green,1,1000,1000,1000,70,green
guatemala,oriente,luis rodriguez,250,asociacion nacional del café,2013,7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,83.33,0.11,0,0,green,3,1310.64,1310.64,1310.64,69,green
united states (hawaii),kona,others,7,specialty coffee association,2012,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10,10,7.83,83.33,0.1,0,0,bluish-green,4,others,others,others,100,bluish-green
burundi,kayanza,others,220,specialty coffee association,2012,7.75,7.67,7.33,7.5,7.5,7.75,10,10,10,7.83,83.33,0,0,0,others,5,1880,1880,1880,60,bluish-green
colombia,huila,condor,250,almacafé,2012,7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,83.33,0,0,0,green,1,1750,1750,1750,70,green
united states (hawaii),kona,others,27,specialty coffee association,others,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10,9.33,7.92,83.33,0.01,0,0,others,0,others,others,others,100,bluish-green
united states (hawaii),others,others,25,specialty coffee association,others,7.58,7.67,7.58,7.5,7.83,7.67,10,10,10,7.5,83.33,0,0,0,others,0,others,others,others,100,bluish-green
mexico,sierra madre occidental,balbino ramirez flores,50,centro agroecológico del café a.c.,2017,7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,83.25,0.11,0,0,bluish-green,0,1600,1600,1600,50,bluish-green
costa rica,tarrazu,manuel montero,29,specialty coffee association,2016,7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,green,0,1900,1900,1900,46,green
costa rica,tarrazu,coopellanobonito,275,specialty coffee association of costa rica,2015,7.83,7.5,7.42,7.67,7.5,7.67,10,10,10,7.67,83.25,0.11,0,0,others,0,others,others,others,69,bluish-green
guatemala,nuevo oriente,pablo chuy,275,asociacion nacional del café,2016,7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,83.25,0.11,0,2,green,7,2100,2100,2100,0,green
uganda,"sipi, mt elgon",kawacom uganda ltd,150,uganda coffee development authority,2015,7.5,7.67,7.67,7.42,7.67,7.67,10,10,10,7.67,83.25,0.12,0,0,green,1,others,others,others,9000,green
brazil,campos altos - cerrado,others,300,brazil specialty coffee association,2016,7.58,7.67,7.42,7.5,7.67,7.42,10,10,10,8,83.25,0.12,0,0,green,4,others,others,others,60,green
colombia,huila,franklin dussan,304,almacafé,2016,7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,83.25,0,0,0,green,2,442,442,442,35,green
mexico,cuarenteño,rafael arroyo zoto,11,asociación mexicana de cafés y cafeterías de especialidad a.c.,2015,7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,83.25,0.12,0,0,bluish-green,2,1261,1261,1261,2,bluish-green
taiwan,natou county,lin yen chien 林言謙,10,specialty coffee association,2015,7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,83.25,0.1,0,0,bluish-green,0,1000,1000,1000,15,bluish-green
taiwan,南投國姓,蘇詠晴,10,blossom valley international,2014,7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,83.25,0.1,0,0,green,0,800,800,800,60,green
colombia,eje cafetero,others,250,almacafé,2014,7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,83.25,0,0,0,green,0,1483,1483,1483,70,green
guatemala,antigua,"siembras visión, s.a.",26,asociacion nacional del café,2014,7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,83.25,0.1,0,0,green,1,1500,1500,1500,69,green
colombia,huila,others,275,almacafé,2013,7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,83.25,0.11,0,0,green,1,1750,1750,1750,70,green
mexico,chiapas,vrios productores,200,amecafe,2013,7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,83.25,0.12,0,0,green,6,1300,1300,1300,1,green
united states (hawaii),kona,others,11,specialty coffee association,2012,7.58,7.75,7.83,8,8.08,7.67,9.33,10,9.33,7.67,83.25,0.11,0,0,bluish-green,4,others,others,others,100,bluish-green
mexico,veracruz,ernesto rodriguez luna,10,amecafe,2012,7.75,7.58,7.58,7.58,7.5,7.58,10,10,10,7.67,83.25,0.13,0,0,green,7,others,others,others,1,green
mexico,fortín de las flores,modesto landeros flores,54,amecafe,2012,7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,83.25,0.12,0,0,bluish-green,0,1000,1000,1000,1,bluish-green
guatemala,oriente,agropecuaria quiagral,250,asociacion nacional del café,2012,7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,83.25,0.11,0,0,green,9,1310.64,1310.64,1310.64,1,green
brazil,grama valley,eliane de andrade cyrino noqueira,30,nucoffee,2012,7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,83.25,0.11,0,0,bluish-green,1,1200,1200,1200,60,bluish-green
colombia,huila,others,250,almacafé,2012,7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,83.25,0.12,0,0,green,1,175,175,175,70,green
colombia,la plata,la plata,175,almacafé,2012,7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,83.25,0.11,0,0,green,0,1600,1950,1775,70,green
colombia,huila,others,250,almacafé,2011,7.92,7.75,7.25,7.42,7.83,7.58,10,10,10,7.5,83.25,0.08,0,0,others,0,1600,1800,1700,70,bluish-green
colombia,cauca,others,250,almacafé,2010,8,7.67,7.67,7.25,7.67,7.5,10,10,10,7.5,83.25,0.13,0,0,others,1,1880,1880,1880,70,bluish-green
colombia,cundinamarca,exportadora de café cóndor s.a,250,almacafé,2010,7.92,7.75,7.5,7.42,7.42,7.67,10,10,10,7.58,83.25,0.04,0,0,others,1,1800,1800,1800,70,bluish-green
brazil,south of minas,ipanema agricola s.a,320,brazil specialty coffee association,2018,7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,83.17,0.11,0,0,green,4,890,890,890,60,green
guatemala,oriente,agroindustrias cafetaleras,275,asociacion nacional del café,2017,7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,83.17,0.1,0,0,green,1,1901,1901,1901,69,green
"tanzania, united republic of",moshi,mamsera,320,tanzanian coffee board,2016,7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,83.17,0.12,0,0,green,3,168,168,168,60,green
peru,others,others,200,central de organizaciones productoras de café y cacao del perú - central café & cacao,2017,7.92,7.5,7.5,7.58,7.67,7.5,10,10,10,7.5,83.17,0.11,0,1,green,0,others,others,others,13800,green
vietnam,dala,"yeh, li chuan",1,specialty coffee association,2017,7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,83.17,0.07,0,0,others,0,1550,1550,1550,2,bluish-green
guatemala,antigua,finca medina,250,asociacion nacional del café,2016,7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,83.17,0.11,2,2,green,3,1500,1500,1500,1500,green
honduras,marcala,jose omar acosta,275,instituto hondureño del café,2016,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,1,bluish-green,1,1450,1450,1450,69,bluish-green
china,yunnan,mojiang jinggong estate speciality development co.ltd,3,yunnan coffee exchange,2015,7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,83.17,0.11,0,0,green,0,1200,1200,1200,60,green
china,dehong prefecture,yunnan success trade co.ltd,3,yunnan coffee exchange,2015,7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,83.17,0.1,0,0,green,3,1600,1600,1600,60,green
el salvador,apaneca,ecom agroindustrial corp. ltd.,275,salvadoran coffee council,2016,7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,83.17,0,0,0,green,0,1350,1350,1350,69,green
guatemala,antigua,finca medina,150,asociacion nacional del café,2015,7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,83.17,0.11,0,0,green,1,1500,1500,1500,69,green
guatemala,oriente,papaturro,100,asociacion nacional del café,2015,7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,83.17,0.12,0,0,green,3,1400,1900,1650,69,green
kenya,kenya,others,300,kenya coffee traders association,2014,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,0,0,bluish-green,1,1,500,250.5,2,bluish-green
thailand,thailand,doi tung development project,1,specialty coffee association,2014,7.67,7.58,7.58,7.75,7.42,7.67,10,10,10,7.5,83.17,0.12,0,0,bluish-green,0,800,800,800,1,bluish-green
"tanzania, united republic of",mbinga,tutunze kahawa ltd,180,africa fine coffee association,2014,7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,83.17,0.13,0,0,bluish-green,6,1653,1653,1653,60,bluish-green
colombia,huila,la plata,232,almacafé,2014,7.58,7.5,7.5,7.67,7.5,7.67,10,10,10,7.75,83.17,0,0,0,others,4,1600,1950,1775,70,bluish-green
uganda,eastern,kabum trading company,84,uganda coffee development authority,2014,8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,83.17,0.1,0,0,bluish-green,0,1800,1800,1800,60,bluish-green
colombia,others,unkown,1,specialty coffee association,2014,7.58,7.75,7.5,7.58,7.58,7.58,10,10,10,7.58,83.17,0.11,10,0,green,3,others,others,others,4,green
honduras,san marcos,nelson melgar melgar,275,instituto hondureño del café,2013,7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,83.17,0.1,0,0,green,5,1450,1450,1450,1,green
honduras,comayagua,reynerio zepeda,275,instituto hondureño del café,2014,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,0,green,3,1350,1350,1350,1,green
guatemala,san marcos,"agricola nueva granada, s.a.",200,asociacion nacional del café,2014,7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,83.17,0.09,0,0,green,1,1524,1524,1524,69,green
united states (hawaii),kona,others,6,specialty coffee association,2013,7.5,7.5,7.58,7.42,7.92,7.67,10,10,10,7.58,83.17,0.11,0,0,bluish-green,0,others,others,others,100,bluish-green
"tanzania, united republic of",kilimanjaro,others,300,tanzanian coffee board,2014,7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,83.17,0.12,0,0,green,1,1800,1800,1800,1,green
guatemala,oriente,roberto monterroso,250,asociacion nacional del café,2013,7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,0,0,green,2,1310.64,1310.64,1310.64,69,green
mexico,chiapas,margarito roblero vazquez,45,amecafe,2013,7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,83.17,0.11,0,0,green,2,1500,1500,1500,1,green
mexico,"tlanchinol, hidalgo",amador hernandez dionicio,10,amecafe,2012,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,83.17,0.12,3,0,others,8,532,532,532,1,bluish-green
mexico,san bartolo tutotepec,"trejo velasco, roman",10,amecafe,2012,7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,83.17,0.14,0,0,others,10,1089,1089,1089,1,bluish-green
colombia,huila,la plata,275,almacafé,2012,7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,83.17,0.11,1,0,green,2,1600,1950,1775,70,green
mexico,san isidro,fernando mendoza aparicio,15,amecafe,2012,7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,83.17,0.13,0,0,green,5,700,700,700,1,green
colombia,huila,others,250,almacafé,2012,7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,83.17,0.11,0,0,bluish-green,0,1750,1750,1750,70,bluish-green
mexico,la concordia,octavio moguel farrera,250,amecafe,2012,7.5,7.75,7.58,7.58,7.67,7.5,10,10,10,7.58,83.17,0.11,0,0,others,5,1380,1380,1380,1,bluish-green
brazil,south of minas,giovane senna bonacorssi,50,nucoffee,2012,7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,83.17,0.12,0,0,green,1,1000,1000,1000,60,green
brazil,mogiana,maria aparecida ferreira azevedo,100,nucoffee,2012,7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,83.17,0.11,0,0,green,4,950,950,950,60,green
guatemala,oriente,conquista / morito,250,specialty coffee association,2012,7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,83.17,0,0,0,green,10,1402.08,1402.08,1402.08,2,green
brazil,south of minas,andrea galvão noqueira,25,nucoffee,2011,7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,83.17,0.12,0,0,bluish-green,3,1000,1000,1000,60,bluish-green
